,user_id,item_id,rating,timestamp
48,AFZUK3MTBIBEDQOPAK3OATUOUKLA,B098NYMTYH,2.0,1661808780730
49,AFZUK3MTBIBEDQOPAK3OATUOUKLA,B095CHR38Z,2.0,1645062075013
50,AFZUK3MTBIBEDQOPAK3OATUOUKLA,B071HMN7K8,5.0,1635309000822
52,AFZUK3MTBIBEDQOPAK3OATUOUKLA,B074XF4KG4,1.0,1611092662402
53,AFZUK3MTBIBEDQOPAK3OATUOUKLA,B08KXH42H9,4.0,1607128372655
54,AFZUK3MTBIBEDQOPAK3OATUOUKLA,B08FRJ8WXR,4.0,1600428063956
55,AFZUK3MTBIBEDQOPAK3OATUOUKLA,B083JPWT8S,5.0,1592271678924
56,AFZUK3MTBIBEDQOPAK3OATUOUKLA,B086V77Y3R,3.0,1590657360877
57,AFZUK3MTBIBEDQOPAK3OATUOUKLA,B07WF6JNX5,4.0,1590214064067
59,AFZUK3MTBIBEDQOPAK3OATUOUKLA,B01LZUP2XY,5.0,1578850938354
60,AFZUK3MTBIBEDQOPAK3OATUOUKLA,B075Q24W9X,5.0,1558494291057
61,AFZUK3MTBIBEDQOPAK3OATUOUKLA,B07C1QG9MT,4.0,1556644492996
62,AFZUK3MTBIBEDQOPAK3OATUOUKLA,B07CCB3YG6,5.0,1556569421118
63,AFZUK3MTBIBEDQOPAK3OATUOUKLA,B07PGST3RL,1.0,1555012173366
65,AFZUK3MTBIBEDQOPAK3OATUOUKLA,B07MBY27VS,4.0,1550988878321
66,AFZUK3MTBIBEDQOPAK3OATUOUKLA,B07FL1QWX4,4.0,1549384654489
67,AFZUK3MTBIBEDQOPAK3OATUOUKLA,B01ARUW0FA,5.0,1544012274029
68,AFZUK3MTBIBEDQOPAK3OATUOUKLA,B07G14S8QC,1.0,1538013797020
69,AFZUK3MTBIBEDQOPAK3OATUOUKLA,B01BO85LE6,3.0,1536620873940
70,AFZUK3MTBIBEDQOPAK3OATUOUKLA,B01HXFGBEI,4.0,1536620342222
71,AFZUK3MTBIBEDQOPAK3OATUOUKLA,B07CXM43WL,5.0,1536616977573
73,AFZUK3MTBIBEDQOPAK3OATUOUKLA,B07DPP9GJY,3.0,1534982661011
74,AFZUK3MTBIBEDQOPAK3OATUOUKLA,B073QH4VC3,5.0,1506365144597
75,AFZUK3MTBIBEDQOPAK3OATUOUKLA,B01MU3HEGW,5.0,1488260309000
76,AFZUK3MTBIBEDQOPAK3OATUOUKLA,B00TDYS6M8,5.0,1486682003000
77,AFZUK3MTBIBEDQOPAK3OATUOUKLA,B01CK1AQWI,5.0,1483758324000
78,AFZUK3MTBIBEDQOPAK3OATUOUKLA,B00OFB4TMK,5.0,1472238393000
79,AFZUK3MTBIBEDQOPAK3OATUOUKLA,B00BAGDXYS,5.0,1461706936000
80,AFZUK3MTBIBEDQOPAK3OATUOUKLA,B014Q3C3OW,4.0,1458942208000
81,AFZUK3MTBIBEDQOPAK3OATUOUKLA,B00HHPN35U,3.0,1432697287000
82,AFZUK3MTBIBEDQOPAK3OATUOUKLA,B009045SIQ,5.0,1422878364000
83,AFZUK3MTBIBEDQOPAK3OATUOUKLA,B00B5HW9R4,5.0,1380134148000
122,AELIV6UHVC6Z6VA4MIZ464WUHDPA,B01LQ8BGCA,5.0,1530123180777
123,AELIV6UHVC6Z6VA4MIZ464WUHDPA,B06XRV55LV,5.0,1518474060327
124,AELIV6UHVC6Z6VA4MIZ464WUHDPA,B00S7PW1RK,4.0,1476710193000
125,AELIV6UHVC6Z6VA4MIZ464WUHDPA,B01EC05AZI,4.0,1474210514000
126,AELIV6UHVC6Z6VA4MIZ464WUHDPA,B01FFNBKH8,4.0,1474210454000
127,AELIV6UHVC6Z6VA4MIZ464WUHDPA,B010NK8VH0,3.0,1460989868000
192,AFA26DYXVLJYTYZ3KET77GE27N2A,B08R5CS6WD,4.0,1620445253969
193,AFA26DYXVLJYTYZ3KET77GE27N2A,B089QPXDGL,5.0,1611207578488
194,AFA26DYXVLJYTYZ3KET77GE27N2A,B07R3KF6FT,3.0,1595723191264
195,AFA26DYXVLJYTYZ3KET77GE27N2A,B072Q6GCPH,5.0,1537313399796
196,AFA26DYXVLJYTYZ3KET77GE27N2A,B07F3VB3QV,5.0,1533021222522
197,AFA26DYXVLJYTYZ3KET77GE27N2A,B01IW1OF7W,5.0,1516697221279
198,AFA26DYXVLJYTYZ3KET77GE27N2A,B0711Y2GJH,5.0,1511503436012
199,AFA26DYXVLJYTYZ3KET77GE27N2A,B06Y59TXS9,5.0,1511499556635
200,AFA26DYXVLJYTYZ3KET77GE27N2A,B07354232P,5.0,1510622259273
201,AFA26DYXVLJYTYZ3KET77GE27N2A,B014W1XAT0,5.0,1510617512185
202,AFA26DYXVLJYTYZ3KET77GE27N2A,B01A71XUE4,5.0,1483832757000
